dna	rna
Picornaviridae	Asfarviridae
Astroviridae	Mimiviridae
Bromoviridae	Herpesviridae
Alphaflexiviridae	Retroviridae
Virgaviridae	Adenoviridae
Partitiviridae	Chaseviridae
Secoviridae	Marseilleviridae
Betaflexiviridae	Methanobacteriaceae
Solemoviridae	Phycodnaviridae
Tombusviridae	Podoviridae
NA	Iridoviridae
NA	Ascoviridae
NA	Poxviridae
NA	Inoviridae
NA	Autographiviridae
NA	Lavidaviridae
NA	Drexlerviridae
NA	Demerecviridae
NA	Genomoviridae
NA	Smacoviridae
NA	Metaviridae
NA	Leviviridae
NA	Caulimoviridae
NA	Ackermannviridae
