name	family	genus	species
A39R_scaffold432|length_539	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold183|length_1310	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold74|length_1066	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold345|length_992	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold855|length_662	Virgaviridae	Tobamovirus	Tomato mosaic virus
A11R_scaffold1227|length_528	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold650|length_577	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold690|length_548	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold754|length_702	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold1036|length_594	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold1220|length_547	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold444|length_529	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold579|length_616	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A58R_scaffold628|length_568	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A59R_scaffold246|length_671	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A47R_scaffold2410|length_546	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A48R_scaffold300|length_811	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold365|length_806	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold459|length_712	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1090|length_575	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A49R_scaffold14|length_1746	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold225|length_1034	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A29R_scaffold422|length_992	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A53R_scaffold233|length_911	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold409|length_918	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold878|length_849	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1755|length_649	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold556|length_638	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A42R_scaffold1340|length_610	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold1233|length_562	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A59R_scaffold408|length_559	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A16R_scaffold2553|length_517	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A3R_scaffold654|length_549	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold2798|length_511	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A16R_scaffold2290|length_552	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A47R_scaffold1067|length_762	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold842|length_513	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A56R_scaffold6|length_3761	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A38R_scaffold72|length_2768	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold186|length_1790	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold11|length_1664	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold2|length_4946	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A39R_scaffold67|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold66|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold65|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold64|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold63|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold62|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold61|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold60|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold59|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold58|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold57|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold56|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold55|length_1379	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold54|length_1380	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold53|length_1380	Virgaviridae	Tobamovirus	Tomato mosaic virus
A37R_scaffold265|length_1368	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A57R_scaffold15|length_1435	Bromoviridae	Ilarvirus	Prunus necrotic ringspot virus
A36R_scaffold182|length_1310	Virgaviridae	Tobamovirus	Tomato mosaic virus
A37R_scaffold328|length_1272	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A57R_scaffold27|length_1262	Bromoviridae	Ilarvirus	Prunus necrotic ringspot virus
A56R_scaffold3|length_4708	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A22R_scaffold26|length_2309	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A28R_scaffold362|length_1085	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold69|length_1087	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold68|length_1087	Virgaviridae	Tobamovirus	Tomato mosaic virus
A26R_scaffold467|length_1091	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold239|length_1012	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold1|length_6129	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A56R_scaffold147|length_1311	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A17R_scaffold357|length_977	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold5|length_4686	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A38R_scaffold177|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold167|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold161|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold160|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold154|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold165|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold163|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A39R_scaffold18|length_1806	Virgaviridae	Tobamovirus	Tomato mosaic virus
A33R_scaffold581|length_909	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A45R_scaffold9|length_1711	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold218|length_1676	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold217|length_1676	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold216|length_1676	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold215|length_1676	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold392|length_937	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold700|length_942	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold330|length_1360	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A47R_scaffold745|length_858	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold107|length_887	Virgaviridae	Tobamovirus	Tomato mosaic virus
A48R_scaffold297|length_811	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1069|length_806	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold223|length_1040	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A42R_scaffold25|length_2433	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A45R_scaffold153|length_806	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold152|length_806	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold130|length_827	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold477|length_801	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A53R_scaffold418|length_787	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold164|length_795	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold175|length_773	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold163|length_795	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold244|length_1592	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A53R_scaffold345|length_830	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold508|length_1085	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A45R_scaffold168|length_779	Virgaviridae	Tobamovirus	Tomato mosaic virus
A37R_scaffold1298|length_746	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1136|length_788	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A42R_scaffold30|length_2352	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A37R_scaffold1223|length_763	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold411|length_748	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1241|length_759	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold40|length_1609	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A56R_scaffold418|length_747	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold417|length_747	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold416|length_747	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold415|length_747	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold626|length_762	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold625|length_762	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold196|length_726	Virgaviridae	Tobamovirus	Tomato mosaic virus
