name	circle	family	raw_family
A10D_scaffold5|length_16926	linear	unknown	unknown
A10D_scaffold13|length_12542	linear	unknown	unknown
A10D_scaffold16|length_11624	linear	unknown	unknown
A10D_scaffold22|length_10532	linear	unknown	unknown
A10D_scaffold25|length_10198	linear	unknown	unknown
A10D_scaffold49|length_8274	linear	unknown	unknown
A10D_scaffold54|length_7985	linear	unknown	unknown
A10D_scaffold59|length_7664	linear	unknown	unknown
A10D_scaffold64|length_7548	circular	unknown	unknown
A10D_scaffold68|length_7339	linear	unknown	unknown
A10D_scaffold71|length_7097	linear	unknown	unknown
A10D_scaffold76|length_6783	linear	unknown	unknown
A10D_scaffold113|length_5877	linear	unknown	unknown
A10D_scaffold116|length_5853	linear	unknown	unknown
A10D_scaffold117|length_5845	linear	unknown	unknown
A10D_scaffold119|length_5834	linear	unknown	unknown
A10D_scaffold126|length_5670	linear	unknown	unknown
A10D_scaffold130|length_5638	linear	unknown	unknown
A10D_scaffold138|length_5580	linear	unknown	unknown
A10D_scaffold165|length_5268	linear	unknown	unknown
A10D_scaffold167|length_5257	linear	unknown	unknown
A10D_scaffold174|length_5154	linear	unknown	unknown
A10D_scaffold177|length_5101	linear	unknown	unknown
A10D_scaffold181|length_5069	linear	unknown	unknown
A10D_scaffold197|length_4920	circular	unknown	unknown
A10D_scaffold204|length_4857	linear	unknown	unknown
A10D_scaffold231|length_4655	linear	unknown	unknown
A10D_scaffold236|length_4588	linear	unknown	unknown
A10D_scaffold245|length_4544	linear	unknown	unknown
A10D_scaffold259|length_4442	linear	unknown	unknown
A10D_scaffold261|length_4427	linear	unknown	unknown
A10D_scaffold277|length_4338	linear	unknown	unknown
A10D_scaffold316|length_4173	linear	unknown	unknown
A10D_scaffold333|length_4096	linear	unknown	unknown
A10D_scaffold351|length_4033	linear	unknown	unknown
A10D_scaffold357|length_4017	linear	unknown	unknown
A10D_scaffold373|length_3934	linear	unknown	unknown
A10D_scaffold377|length_3921	circular	unknown	unknown
A10D_scaffold382|length_3900	linear	unknown	unknown
A10D_scaffold391|length_3857	linear	unknown	unknown
A10D_scaffold405|length_3824	linear	unknown	unknown
A10D_scaffold407|length_3805	linear	unknown	unknown
A10D_scaffold439|length_3694	linear	unknown	unknown
A10D_scaffold444|length_3688	linear	unknown	unknown
A10D_scaffold449|length_3666	linear	unknown	unknown
A10D_scaffold450|length_3662	linear	unknown	unknown
A10D_scaffold454|length_3645	linear	unknown	unknown
A10D_scaffold460|length_3639	linear	unknown	unknown
A10D_scaffold461|length_3639	linear	unknown	unknown
A10D_scaffold472|length_3594	linear	unknown	unknown
A10D_scaffold476|length_3584	linear	unknown	unknown
A10D_scaffold477|length_3581	linear	unknown	unknown
A10D_scaffold478|length_3578	linear	unknown	unknown
A10D_scaffold486|length_3538	linear	unknown	unknown
A10D_scaffold487|length_3536	linear	unknown	unknown
A10D_scaffold490|length_3532	linear	unknown	unknown
A10D_scaffold495|length_3521	linear	unknown	unknown
A10D_scaffold505|length_3488	linear	unknown	unknown
A10D_scaffold513|length_3457	linear	unknown	unknown
A10D_scaffold534|length_3396	linear	unknown	unknown
A10D_scaffold535|length_3395	linear	unknown	unknown
A10D_scaffold538|length_3384	circular	unknown	unknown
A10D_scaffold544|length_3366	linear	unknown	unknown
A10D_scaffold618|length_3160	linear	unknown	unknown
A10D_scaffold632|length_3133	linear	unknown	unknown
A10D_scaffold644|length_3122	linear	unknown	unknown
A10D_scaffold667|length_3071	linear	unknown	unknown
A10D_scaffold669|length_3069	linear	unknown	unknown
A10D_scaffold687|length_3037	circular	unknown	unknown
A10D_scaffold697|length_3018	linear	unknown	unknown
A10D_scaffold700|length_3012	linear	unknown	unknown
A10D_scaffold703|length_3007	linear	unknown	unknown
A10D_scaffold717|length_2992	linear	unknown	unknown
A10D_scaffold720|length_2983	linear	unknown	unknown
A10D_scaffold721|length_2978	linear	unknown	unknown
A10D_scaffold737|length_2952	linear	unknown	unknown
A10D_scaffold742|length_2944	linear	unknown	unknown
A10D_scaffold745|length_2941	linear	unknown	unknown
A10D_scaffold757|length_2914	linear	unknown	unknown
A10D_scaffold775|length_2885	linear	unknown	unknown
A10D_scaffold783|length_2873	linear	unknown	unknown
